FileA,FileB,SimilarityAVG,SimilarityMin,SimilarityMax
/tmp/raw/www.login.giftandcrafts.in_codecanyon-1Jf8r0Yw-qbill-inventory-management-system.zip_3b6509bc315c044e7ed5.zip,/tmp/raw/usisandbox.com_cupe1328-mms.usisandbox.com.zip_484f6b20cc4a0bd44b65.zip,1.5125328943228653,1.3543436673994844,1.5707963267948966
/tmp/raw/www.login.giftandcrafts.in_codecanyon-1Jf8r0Yw-qbill-inventory-management-system.zip_3b6509bc315c044e7ed5.zip,/tmp/raw/usisandbox.com_storage.zip_27dce7412391a8e3a1b9.zip,1.4740294279635893,1.191405243739966,1.5707963267948966
/tmp/raw/www.login.giftandcrafts.in_codecanyon-1Jf8r0Yw-qbill-inventory-management-system.zip_3b6509bc315c044e7ed5.zip,/tmp/raw/paypal.com.verif-092120.com_laravel.zip_0e87db8b81a33abcfd46.zip,1.5098560521600912,1.3987522790694118,1.5707963267948966
/tmp/raw/www.login.giftandcrafts.in_codecanyon-1Jf8r0Yw-qbill-inventory-management-system.zip_3b6509bc315c044e7ed5.zip,/tmp/raw/www.pay.stripe-pay.ru_Dad.zip_ac8a677a08b90209bb38.zip,1.4995109128567974,0.0,1.5707963267948966
/tmp/raw/www.login.giftandcrafts.in_codecanyon-1Jf8r0Yw-qbill-inventory-management-system.zip_3b6509bc315c044e7ed5.zip,/tmp/raw/www.rebarmodernfood.com_paypal (1) (2).zip_5d6c2deb107085007faa.zip,1.5028453900563765,1.420885162397343,1.5707963267948966
/tmp/raw/www.login.giftandcrafts.in_codecanyon-1Jf8r0Yw-qbill-inventory-management-system.zip_3b6509bc315c044e7ed5.zip,/tmp/raw/wenaxe.com_minepompier.local.zip_e85f7386927f925ccbba.zip,1.4328565993465445,1.2847601548522238,1.5504371417762433
/tmp/raw/www.login.giftandcrafts.in_codecanyon-1Jf8r0Yw-qbill-inventory-management-system.zip_3b6509bc315c044e7ed5.zip,/tmp/raw/calidadresidencia.xyz_desafio.zip_290b2f9323708ab876ee.zip,1.513153496089129,1.4117863000027624,1.5707963267948966
/tmp/raw/www.login.giftandcrafts.in_codecanyon-1Jf8r0Yw-qbill-inventory-management-system.zip_3b6509bc315c044e7ed5.zip,/tmp/raw/lawyer.ahmed-ajory.com_lawyer.zip_b8313d2bfb46ae13fab7.zip,1.5075439671704371,1.3543436673994844,1.5707963267948966
/tmp/raw/www.login.giftandcrafts.in_codecanyon-1Jf8r0Yw-qbill-inventory-management-system.zip_3b6509bc315c044e7ed5.zip,/tmp/raw/fcisumerpur.com_backup.zip_e03dca2e0326521b5322.zip,1.4292906237973773,1.3416809980234639,1.5269672092209192
/tmp/raw/www.login.giftandcrafts.in_codecanyon-1Jf8r0Yw-qbill-inventory-management-system.zip_3b6509bc315c044e7ed5.zip,/tmp/raw/usisandbox.com_cupe2544mms.usisandbox.com.zip_e07e09bfc9816d029912.zip,1.5125328943228653,1.3543436673994844,1.5707963267948966
/tmp/raw/www.login.giftandcrafts.in_codecanyon-1Jf8r0Yw-qbill-inventory-management-system.zip_3b6509bc315c044e7ed5.zip,/tmp/raw/nice83.com_nice83_com_2020624.zip_1b0aef0437c5b8cee9f9.zip,1.4748777621275027,0.0,1.5707963267948966
/tmp/raw/www.login.giftandcrafts.in_codecanyon-1Jf8r0Yw-qbill-inventory-management-system.zip_3b6509bc315c044e7ed5.zip,/tmp/raw/properticsindia.com_smartend.zip_d7782b3215801dd50d41.zip,1.4960153130788607,1.3543436673994844,1.5655035390453618
/tmp/raw/www.login.giftandcrafts.in_codecanyon-1Jf8r0Yw-qbill-inventory-management-system.zip_3b6509bc315c044e7ed5.zip,/tmp/raw/usisandbox.com_cupe1883-mms.usisandbox.com.zip_c4b399eb33a191a7c08f.zip,1.5125328943228653,1.3543436673994844,1.5707963267948966
/tmp/raw/usisandbox.com_cupe1328-mms.usisandbox.com.zip_484f6b20cc4a0bd44b65.zip,/tmp/raw/www.login.giftandcrafts.in_codecanyon-1Jf8r0Yw-qbill-inventory-management-system.zip_3b6509bc315c044e7ed5.zip,1.5125328943228653,1.3543436673994844,1.5707963267948966
